no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status,dbscan_cluster,dbscan_outlier,gmm_prob_0,gmm_prob_1,gmm_prob_2
2,0,1,2,0,0,0,224,2017,10,2,3,0,0,0,65.0,0,1,0,0,3.0404536055966474e-14,0.999999999999968,0.0
2,0,2,3,3,0,0,5,2018,11,6,4,0,0,0,106.68,1,1,-1,1,2.803104776840756e-16,1.0,0.0
1,0,2,1,0,0,0,1,2018,2,28,4,0,0,0,60.0,0,0,1,0,4.622906244371674e-11,0.9999999999537721,0.0
2,0,0,2,0,0,0,211,2018,5,20,4,0,0,0,100.0,0,0,2,0,1.0152285937469706e-11,0.9999999999898463,0.0
2,0,1,1,3,0,0,48,2018,4,11,4,0,0,0,94.5,0,0,-1,1,5.874644453347475e-16,1.0,0.0
2,0,1,3,0,0,0,34,2017,10,15,4,0,0,0,107.55,1,1,-1,1,2.408091570044741e-12,0.9999999999975913,0.0
2,0,1,3,0,0,3,83,2018,12,26,4,0,0,0,105.61,1,1,-1,1,1.0,0.0,0.0
3,0,0,4,0,0,0,121,2018,7,6,3,0,0,0,96.9,1,1,-1,1,6.134741829377867e-11,0.9999999999386517,0.0
2,0,0,5,0,0,3,44,2018,10,18,4,0,0,0,133.44,3,1,-1,1,1.0,0.0,0.0
1,0,1,0,3,0,0,0,2018,9,11,4,0,0,0,85.03,0,1,-1,1,2.404478978703551e-16,1.0,0.0
1,0,2,1,0,0,3,35,2018,4,30,4,0,0,0,140.4,1,1,-1,1,1.0,0.0,0.0
2,0,2,1,3,0,0,30,2018,11,26,4,0,0,0,88.0,0,0,-1,1,1.9775162444597139e-16,1.0,0.0
1,0,2,0,0,0,0,95,2018,11,20,4,0,0,0,90.0,2,0,-1,1,7.779172842033903e-11,0.9999999999222098,0.0
2,0,0,2,0,0,0,47,2017,10,20,4,0,0,0,94.5,2,1,-1,1,7.057484204044141e-12,0.9999999999929408,0.0
